"Informazioni cronologiche","Sei..","Sei interessato a.. (possibile scelta multipla)","Quanti anni hai?","Qual è il colore dei tuoi occhi?","Qual è il colore dei tuoi capelli?","Quanto sei alto?","Studi?","Se si, frequenti..","Quali sono i tuoi interessi? (possibile scelta multipla)","Cosa è importante per te in una persona? (possibile scelta multipla)","Quanto reputi utile un sito dating?","Per cosa useresti il nostro sito di dating?"
"2020/12/11 11:06:06 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Viaggi;Storia;Libri;Natura;Fotografia;Moda","Carattere;Aspetto fisico;Altro","2","Amicizie"
"2020/12/11 11:07:07 PM CET","Maschio","Donne","45 - 55","Castani","Castani","1,61m - 1,80m","No","","Calcio;Serie Tv;Cucina","Carattere","10","Amicizie"
"2020/12/11 11:08:04 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Arte;Teatro;Tecnologia;Informatica;Libri","Carattere;Hobby/Passioni","8","Relazioni"
"2020/12/11 11:08:57 PM CET","Femmina","Donne","26 - 35","Neri","Neri","1,61m - 1,80m","No","Università - Facoltà umanistica","Musica;Cinema;Serie Tv;Tv;Arte;Tecnologia;Viaggi;Storia;Informatica;Libri;Moda","Carattere;Aspetto fisico;Hobby/Passioni","6","Relazioni"
"2020/12/11 11:09:45 PM CET","Maschio","Donne","36 - 45","Castani","Castani","1,81m - 2m","No","Nessuna delle precedenti","Cinema;Calcio;Serie Tv;Teatro;Informatica;Cucina;Fotografia;Motori;Altro","Aspetto fisico","10","Rapporti occasionali"
"2020/12/11 11:10:42 PM CET","Femmina","Uomini","36 - 45","Castani","Neri","1,61m - 1,80m","No","Nessuna delle precedenti","Cucina","Carattere","6","Amicizie"
"2020/12/11 11:10:48 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Accademie varie (Artistica etc..)","Musica;Politica;Videogiochi;Tecnologia;Informatica;Natura","Carattere;Aspetto fisico","8","Rapporti occasionali"
"2020/12/11 11:12:20 PM CET","Femmina","Uomini","26 - 35","Castani","Biondi","1,61m - 1,80m","No","","Viaggi","Carattere","6","Amicizie"
"2020/12/11 11:13:16 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Cinema;Sport;Serie Tv;Tv;Arte;Teatro;Politica;Viaggi;Storia;Libri;Cucina;Fotografia;Moda","Carattere","3","Amicizie"
"2020/12/11 11:14:40 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","No","","Arte;Fotografia;Disegno","Carattere","1","Amicizie"
"2020/12/11 11:20:30 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Cucina;Altro","Carattere","10","Altro"
"2020/12/11 11:22:10 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","No","","Musica;Serie Tv;Arte;Teatro;Viaggi;Cucina;Fotografia;Disegno;Moda","Carattere","7","Relazioni"
"2020/12/11 11:22:23 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Cinema;Sport;Serie Tv;Viaggi","Carattere;Aspetto fisico","7","Amicizie"
"2020/12/11 11:23:33 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Accademie varie (Artistica etc..)","Musica;Arte;Disegno","Carattere;Hobby/Passioni","5","Amicizie"
"2020/12/11 11:25:11 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Cinema;Altro","Carattere;Aspetto fisico","8","Amicizie"
"2020/12/11 11:25:35 PM CET","Femmina","Uomini;Donne","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Tv","Carattere;Aspetto fisico","3","Amicizie"
"2020/12/11 11:27:51 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Musica;Informatica;Motori","Carattere;Aspetto fisico","8","Altro"
"2020/12/11 11:33:12 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Nessuna delle precedenti","Musica;Cinema;Serie Tv;Cucina;Fotografia;Moda","Carattere;Aspetto fisico","7","Amicizie"
"2020/12/11 11:34:07 PM CET","Femmina","Uomini","36 - 45","Castani","Castani","1,61m - 1,80m","No","","Cucina","Carattere","8","Amicizie"
"2020/12/11 11:35:57 PM CET","Maschio","Donne","26 - 35","Azzurri","Biondi","1,81m - 2m","No","Nessuna delle precedenti","Musica;Cinema;Sport;Anime;Manga/Fumetti;Serie Tv;Tv;Videogiochi;Tecnologia;Libri","Carattere;Aspetto fisico;Hobby/Passioni","1","Altro"
"2020/12/11 11:36:09 PM CET","Maschio","Donne","26 - 35","Castani","Neri","1,61m - 1,80m","No","","Motori","Carattere","2","Amicizie"
"2020/12/11 11:37:47 PM CET","Maschio","Donne","18 - 25","Castani","Rossi","1,61m - 1,80m","No","","Musica;Sport;Calcio;Serie Tv;Teatro;Videogiochi;Storia;Cucina;Natura","Carattere;Aspetto fisico","5","Rapporti occasionali"
"2020/12/11 11:40:54 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Anime;Manga/Fumetti;Serie Tv;Videogiochi;Tecnologia;Viaggi;Libri","Carattere;Aspetto fisico","8","Altro"
"2020/12/11 11:40:57 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Cinema;Sport;Tecnologia;Viaggi;Informatica;Natura;Fotografia;Motori","Carattere;Aspetto fisico;Hobby/Passioni","4","Rapporti occasionali"
"2020/12/11 11:42:51 PM CET","Femmina","Donne","18 - 25","Castani","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Arte;Viaggi;Libri;Altro","Carattere;Aspetto fisico;Hobby/Passioni","4","Altro"
"2020/12/11 11:43:09 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Arte;Videogiochi;Tecnologia;Informatica;Disegno","Carattere;Aspetto fisico;Hobby/Passioni;Altro","4","Rapporti occasionali"
"2020/12/11 11:50:25 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Serie Tv;Tv;Arte;Viaggi;Libri;Cucina;Natura;Fotografia;Disegno;Moda","Carattere","3","Amicizie"
"2020/12/11 11:52:36 PM CET","Femmina","Uomini","18 - 25","Verdi","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Serie Tv;Teatro;Tecnologia;Viaggi;Informatica;Libri;Cucina;Natura;Fotografia","Carattere;Aspetto fisico;Hobby/Passioni;Altro","2","Rapporti occasionali"
"2020/12/11 11:54:01 PM CET","Maschio","Donne","18 - 25","Neri","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Calcio;Politica;Tecnologia;Viaggi;Informatica;Cucina;Motori","Carattere;Hobby/Passioni","3","Altro"
"2020/12/11 11:54:08 PM CET","Femmina","Uomini;Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Nessuna delle precedenti","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Teatro;Politica;Videogiochi;Tecnologia;Viaggi;Informatica;Libri;Cucina;Natura;Fotografia;Disegno;Altro","Carattere;Hobby/Passioni","4","Amicizie"
"2020/12/11 11:56:41 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Videogiochi;Tecnologia;Viaggi;Informatica","Carattere","10","Amicizie"
"2020/12/12 12:16:22 AM CET","Maschio","Donne","18 - 25","Azzurri","Castani","1,61m - 1,80m","No","","Musica;Serie Tv;Arte;Videogiochi;Tecnologia;Viaggi;Informatica;Cucina;Natura;Motori;Altro","Carattere;Aspetto fisico","7","Altro"
"2020/12/12 12:27:04 AM CET","Maschio","Donne","18 - 25","Azzurri","Castani","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Anime;Manga/Fumetti;Videogiochi;Libri","Carattere","5","Altro"
"2020/12/12 12:34:02 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Natura;Altro","Carattere","5","Amicizie"
"2020/12/12 12:41:26 AM CET","Femmina","Uomini","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Tv;Arte;Politica;Tecnologia;Libri;Natura;Moda","Carattere;Aspetto fisico","6","Rapporti occasionali"
"2020/12/12 12:41:52 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Musica;Manga/Fumetti;Serie Tv;Videogiochi;Tecnologia;Informatica;Disegno","Carattere;Hobby/Passioni","4","Rapporti occasionali"
"2020/12/12 12:48:06 AM CET","Femmina","Donne","26 - 35","Verdi","Biondi","1,61m - 1,80m","No","","Arte;Teatro;Videogiochi;Cucina;Fotografia;Disegno;Moda","Aspetto fisico","6","Amicizie"
"2020/12/12 1:06:18 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Cinema;Sport;Teatro;Videogiochi;Tecnologia;Informatica;Natura;Fotografia;Motori","Carattere","8","Amicizie"
"2020/12/12 1:19:34 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Serie Tv;Libri;Moda;Altro","Carattere","7","Relazioni"
"2020/12/12 1:25:38 AM CET","Femmina","Uomini","18 - 25","Verdi","Biondi","1,41m - 1,60m","No","","Musica;Cinema;Serie Tv;Arte;Teatro;Viaggi;Libri","Carattere;Hobby/Passioni","6","Relazioni"
"2020/12/12 3:14:02 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Sport;Videogiochi;Tecnologia;Informatica;Moda","Carattere","7","Amicizie"
"2020/12/12 5:40:17 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Nessuna delle precedenti","Musica;Cinema;Calcio;Manga/Fumetti;Serie Tv;Videogiochi;Tecnologia;Storia;Informatica;Fotografia;Motori","Carattere;Hobby/Passioni","10","Relazioni"
"2020/12/12 5:41:20 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Nessuna delle precedenti","Musica;Cinema;Calcio;Anime;Manga/Fumetti;Serie Tv;Tv;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Natura;Fotografia;Motori;Altro","Carattere","10","Relazioni"
"2020/12/12 6:37:25 AM CET","Femmina","Uomini","45 - 55","Verdi","Castani","1,61m - 1,80m","No","","Libri;Altro","Carattere","7","Altro"
"2020/12/12 7:12:11 AM CET","Femmina","Uomini","36 - 45","Castani","Castani","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Informatica;Cucina","Carattere","5","Amicizie"
"2020/12/12 8:03:36 AM CET","Maschio","Uomini","36 - 45","Castani","Castani","1,61m - 1,80m","No","Nessuna delle precedenti","Sport;Calcio;Serie Tv;Tv;Tecnologia;Viaggi;Informatica;Cucina;Fotografia;Moda","Aspetto fisico","1","Rapporti occasionali"
"2020/12/12 8:18:00 AM CET","Femmina","Uomini","18 - 25","Castani","Neri","1,61m - 1,80m","No","","Musica;Sport;Serie Tv;Viaggi;Libri;Fotografia","Carattere","7","Relazioni"
"2020/12/12 8:33:20 AM CET","Maschio","Donne","26 - 35","Castani","Castani","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Cinema;Calcio;Anime;Manga/Fumetti;Serie Tv;Arte;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Libri;Cucina","Carattere;Hobby/Passioni","7","Relazioni"
"2020/12/12 8:53:39 AM CET","Femmina","Uomini","18 - 25","Castani","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Viaggi;Storia;Fotografia;Disegno;Moda","Carattere;Aspetto fisico","4","Rapporti occasionali"
"2020/12/12 9:20:06 AM CET","Femmina","Uomini","26 - 35","Azzurri","Biondi","1,61m - 1,80m","No","","Musica;Serie Tv;Viaggi;Cucina;Fotografia;Moda","Carattere;Aspetto fisico","7","Amicizie"
"2020/12/12 9:37:49 AM CET","Femmina","Uomini;Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Sport;Arte;Viaggi;Storia;Cucina;Natura","Carattere;Aspetto fisico;Hobby/Passioni","7","Rapporti occasionali"
"2020/12/12 9:45:17 AM CET","Femmina","Donne","18 - 25","Castani","Castani","1,41m - 1,60m","No","","Musica;Cinema;Serie Tv;Tv;Arte;Libri;Natura;Disegno;Altro","Carattere;Aspetto fisico;Hobby/Passioni","5","Amicizie"
"2020/12/12 10:37:43 AM CET","Femmina","Uomini","18 - 25","Castani","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Serie Tv;Cucina;Moda","Carattere","6","Amicizie"
"2020/12/12 10:59:55 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Politica;Videogiochi;Tecnologia;Viaggi;Informatica;Libri;Natura;Motori","Carattere;Aspetto fisico;Hobby/Passioni;Altro","2","Rapporti occasionali"
"2020/12/12 11:12:45 AM CET","Femmina","Uomini","26 - 35","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Arte;Viaggi;Natura;Fotografia;Altro","Carattere;Aspetto fisico","3","Relazioni"
"2020/12/12 11:17:44 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Serie Tv;Videogiochi;Informatica;Altro","Carattere;Aspetto fisico","4","Relazioni"
"2020/12/12 11:18:40 AM CET","Femmina","Donne","18 - 25","Castani","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Arte;Viaggi;Libri;Altro","Carattere;Aspetto fisico;Hobby/Passioni","4","Altro"
"2020/12/12 11:32:13 AM CET","Femmina","Uomini","26 - 35","Azzurri","Castani","1,61m - 1,80m","No","","Musica;Cinema;Sport;Calcio;Viaggi;Cucina;Natura;Fotografia","Hobby/Passioni","7","Rapporti occasionali"
"2020/12/12 11:33:25 AM CET","Femmina","Donne","26 - 35","Castani","Neri","1,61m - 1,80m","No","","Musica;Cinema;Serie Tv;Arte;Teatro;Politica;Viaggi;Storia;Libri","Carattere;Aspetto fisico;Hobby/Passioni","6","Relazioni"
"2020/12/12 11:34:16 AM CET","Maschio","Donne","18 - 25","Verdi","Altro","1,61m - 1,80m","No","","Musica;Cinema;Videogiochi;Viaggi;Storia;Cucina;Natura;Fotografia;Motori","Carattere","5","Rapporti occasionali"
"2020/12/12 11:34:29 AM CET","Maschio","Donne","26 - 35","Castani","Castani","1,61m - 1,80m","No","","Sport;Calcio;Tv;Videogiochi;Viaggi;Motori","Carattere;Aspetto fisico","7","Altro"
"2020/12/12 11:39:06 AM CET","Femmina","Uomini","18 - 25","Castani","Altro","1,61m - 1,80m","No","","Sport;Manga/Fumetti;Tv;Arte;Viaggi;Libri;Fotografia;Disegno","Carattere","1","Altro"
"2020/12/12 11:52:16 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Serie Tv;Arte;Videogiochi;Tecnologia;Viaggi;Storia;Cucina;Fotografia","Carattere","6","Relazioni"
"2020/12/12 12:05:19 PM CET","Femmina","Uomini","18 - 25","Castani","Neri","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Cinema;Tecnologia;Viaggi;Cucina;Moda","Carattere;Aspetto fisico","5","Amicizie"
"2020/12/12 12:08:46 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Manga/Fumetti;Serie Tv;Arte;Videogiochi;Tecnologia;Fotografia;Disegno;Motori","Carattere;Aspetto fisico;Hobby/Passioni","4","Rapporti occasionali"
"2020/12/12 12:15:53 PM CET","Femmina","Uomini","18 - 25","Castani","Neri","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Cinema;Tecnologia;Viaggi;Cucina;Moda","Carattere;Aspetto fisico","5","Amicizie"
"2020/12/12 12:48:18 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Viaggi","Carattere;Aspetto fisico","3","Rapporti occasionali"
"2020/12/12 2:07:30 PM CET","Femmina","Uomini","18 - 25","Verdi","Neri","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Sport;Tv;Arte;Politica;Viaggi;Storia;Libri","Carattere","3","Amicizie"
"2020/12/12 2:26:53 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Serie Tv;Videogiochi;Tecnologia;Informatica;Libri","Carattere;Hobby/Passioni","8","Rapporti occasionali"
"2020/12/12 2:55:46 PM CET","Maschio","Donne","26 - 35","Castani","Castani","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Cinema;Sport;Calcio;Serie Tv;Arte;Viaggi;Storia","Carattere;Hobby/Passioni","7","Amicizie"
"2020/12/12 3:08:07 PM CET","Maschio","Donne","26 - 35","Castani","Neri","1,81m - 2m","No","","Sport;Calcio;Tv;Politica;Tecnologia;Libri;Altro","Carattere;Aspetto fisico","7","Altro"
"2020/12/12 3:24:32 PM CET","Femmina","Uomini","26 - 35","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Sport;Serie Tv;Arte;Teatro;Politica;Tecnologia;Viaggi;Storia;Libri;Cucina;Natura;Fotografia;Moda","Carattere","1","Amicizie"
"2020/12/12 3:26:09 PM CET","Femmina","Uomini","26 - 35","Castani","Castani","1,61m - 1,80m","No","","Sport;Viaggi;Cucina","Carattere;Aspetto fisico;Hobby/Passioni","8","Altro"
"2020/12/12 3:58:50 PM CET","Femmina","Uomini","26 - 35","Azzurri","Biondi","1,61m - 1,80m","No","","Musica;Cinema;Sport;Serie Tv;Tecnologia;Viaggi;Fotografia;Moda","Carattere","4","Rapporti occasionali"
"2020/12/12 4:17:32 PM CET","Femmina","Uomini","Più di 55","Verdi","Castani","1,41m - 1,60m","No","","Musica;Cinema;Serie Tv;Arte;Storia;Libri;Natura","Carattere;Aspetto fisico","5","Amicizie"
"2020/12/12 5:20:37 PM CET","Femmina","Uomini","26 - 35","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Anime;Serie Tv;Viaggi;Cucina;Natura","Carattere;Aspetto fisico","7","Amicizie"
"2020/12/12 5:23:09 PM CET","Femmina","Uomini","26 - 35","Castani","Castani","1,61m - 1,80m","No","","Musica;Cinema;Serie Tv;Viaggi;Libri;Cucina","Carattere;Aspetto fisico;Hobby/Passioni","7","Altro"
"2020/12/12 5:30:46 PM CET","Maschio","Donne","36 - 45","Castani","Biondi","1,61m - 1,80m","No","","Musica;Cinema;Calcio;Tecnologia;Informatica;Disegno","Carattere;Aspetto fisico;Hobby/Passioni","6","Rapporti occasionali"
"2020/12/12 5:48:46 PM CET","Maschio","Donne","26 - 35","Castani","Neri","1,81m - 2m","No","","Musica;Cinema;Sport;Calcio;Serie Tv;Tecnologia;Viaggi;Storia;Informatica;Motori","Carattere","7","Rapporti occasionali"
"2020/12/12 6:03:43 PM CET","Maschio","Donne","26 - 35","Castani","Castani","1,61m - 1,80m","No","","Cinema;Calcio;Anime;Serie Tv;Libri","Carattere","6","Amicizie"
"2020/12/12 6:45:38 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Arte;Viaggi;Natura;Disegno","Carattere","6","Relazioni"
"2020/12/12 7:57:00 PM CET","Femmina","Uomini","45 - 55","Verdi","Castani","1,61m - 1,80m","No","","Serie Tv;Tv;Altro","Carattere","5","Amicizie"
"2020/12/12 8:14:26 PM CET","Femmina","Uomini","26 - 35","Verdi","Castani","1,61m - 1,80m","No","","Musica;Serie Tv;Tv;Arte;Viaggi;Libri;Cucina;Natura;Fotografia;Moda","Carattere","5","Altro"
"2020/12/12 8:30:45 PM CET","Maschio","Uomini;Donne","Più di 55","Castani","Castani","1,61m - 1,80m","No","","Cinema;Sport;Calcio;Tv;Tecnologia;Viaggi;Storia;Natura;Motori","Carattere;Aspetto fisico;Hobby/Passioni","8","Relazioni"
"2020/12/12 8:50:09 PM CET","Maschio","Donne","Meno di 18","Castani","Neri","1,81m - 2m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Cinema;Sport;Teatro;Videogiochi;Tecnologia;Motori","Carattere;Aspetto fisico","6","Amicizie"
"2020/12/12 8:53:41 PM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Calcio;Anime;Serie Tv;Tv;Arte;Videogiochi;Viaggi;Natura;Fotografia","Aspetto fisico;Hobby/Passioni","8","Relazioni"
"2020/12/12 8:56:50 PM CET","Maschio","Donne","26 - 35","Castani","Altro","1,81m - 2m","No","","Sport;Calcio;Tv;Cucina","Carattere;Aspetto fisico;Hobby/Passioni","6","Amicizie"
"2020/12/12 8:59:40 PM CET","Maschio","Donne","26 - 35","Azzurri","Biondi","1,61m - 1,80m","No","","Calcio;Serie Tv;Politica;Libri","Carattere;Aspetto fisico;Hobby/Passioni","6","Altro"
"2020/12/12 9:02:34 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Cucina","Carattere;Aspetto fisico;Hobby/Passioni","6","Amicizie"
"2020/12/12 9:29:51 PM CET","Maschio","Donne","26 - 35","Verdi","Castani","1,61m - 1,80m","No","","Sport;Calcio;Tv;Politica;Cucina;Moda;Altro","Carattere","7","Altro"
"2020/12/12 11:14:17 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","No","","Serie Tv;Libri","Carattere","7","Amicizie"
"2020/12/13 12:04:51 PM CET","Femmina","Uomini","45 - 55","Verdi","Castani","1,61m - 1,80m","No","","Musica;Cucina;Altro","Carattere;Altro","7","Amicizie"
"2020/12/13 12:23:12 PM CET","Femmina","Uomini","18 - 25","Azzurri","Castani","1,41m - 1,60m","No","","Musica;Serie Tv;Viaggi","Carattere","8","Amicizie"
"2020/12/13 1:27:23 PM CET","Maschio","Uomini","18 - 25","Neri","Neri","1,61m - 1,80m","Si","Università - Facoltà umanistica","Cinema;Sport;Arte;Viaggi;Storia;Libri;Cucina;Natura;Altro","Carattere;Aspetto fisico;Hobby/Passioni;Altro","5","Rapporti occasionali"
"2020/12/13 1:27:27 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Cinema;Tv;Arte;Disegno","Carattere;Altro","7","Rapporti occasionali"
"2020/12/13 2:34:14 PM CET","Maschio","Donne","26 - 35","Verdi","Castani","1,61m - 1,80m","No","","Sport;Calcio;Tv;Politica;Cucina;Moda;Altro","Carattere","7","Altro"
"2020/12/14 9:08:40 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Tv;Arte;Cucina;Disegno","Carattere;Hobby/Passioni","6","Amicizie"
"2020/12/14 9:39:48 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Accademie varie (Artistica etc..)","Musica;Cinema;Serie Tv;Tv;Teatro;Fotografia","Carattere","1","Amicizie"
"2020/12/14 9:39:56 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Accademie varie (Artistica etc..)","Musica;Cinema;Serie Tv;Tv;Teatro;Fotografia","Carattere","1","Amicizie"
"2020/12/14 9:40:11 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Videogiochi;Tecnologia;Libri;Altro","Carattere;Aspetto fisico;Hobby/Passioni","5","Altro"
"2020/12/14 9:41:31 AM CET","Maschio","Uomini","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Sport;Calcio;Arte;Videogiochi;Tecnologia;Informatica;Libri;Cucina;Disegno","Carattere","4","Rapporti occasionali"
"2020/12/14 9:45:13 AM CET","Maschio","Donne","26 - 35","Verdi","Castani","1,61m - 1,80m","No","","Musica;Serie Tv;Videogiochi;Tecnologia;Viaggi;Informatica;Cucina","Carattere;Hobby/Passioni","7","Amicizie"
"2020/12/14 9:46:35 AM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Anime;Serie Tv;Tv;Teatro;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Libri;Cucina;Natura;Motori","Carattere;Aspetto fisico","8","Amicizie"
"2020/12/14 10:10:58 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Arte;Teatro;Informatica;Libri;Natura;Fotografia;Disegno","Carattere","5","Amicizie"
"2020/12/14 10:13:03 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Cinema;Serie Tv;Tv;Teatro;Videogiochi;Viaggi;Cucina","Carattere;Aspetto fisico","5","Relazioni"
"2020/12/14 10:21:23 AM CET","Maschio","Donne","18 - 25","Castani","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Anime;Serie Tv;Arte;Videogiochi;Tecnologia;Viaggi;Informatica;Libri;Cucina;Fotografia;Disegno","Carattere;Hobby/Passioni","3","Amicizie"
"2020/12/14 10:41:14 AM CET","Femmina","Uomini","18 - 25","Verdi","Biondi","1,41m - 1,60m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Teatro;Viaggi;Cucina;Fotografia;Motori;Moda","Carattere;Aspetto fisico","4","Amicizie"
"2020/12/14 11:04:55 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Tecnologia;Viaggi;Informatica;Fotografia","Carattere;Hobby/Passioni","6","Amicizie"
"2020/12/14 11:07:01 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Arte;Politica;Videogiochi;Viaggi;Informatica;Natura","Carattere;Aspetto fisico;Hobby/Passioni","7","Rapporti occasionali"
"2020/12/14 11:07:23 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Calcio;Videogiochi;Tecnologia;Informatica","Carattere;Aspetto fisico;Hobby/Passioni","1","Altro"
